id,tested_positive
390,31.82768
391,11.999518
392,29.17553
393,17.68723
394,9.341517
395,14.964154
396,29.739124
397,20.756252
398,21.02757
399,12.294622
400,15.309207
401,18.522429
402,8.750122
403,30.245535
404,31.552042
405,11.163978
406,9.946025
407,25.208378
408,13.24988
409,18.077023
410,19.63003
411,7.0248184
412,25.150082
413,13.398599
414,9.243297
415,18.11251
416,21.573483
417,23.319227
418,26.373722
419,9.607676
420,17.096407
421,4.572725
422,8.517324
423,11.139882
424,21.784304
425,13.97132
426,19.232649
427,9.3464575
428,32.756927
429,23.347378
430,11.592395
431,19.625221
432,17.195498
433,13.971335
434,9.416871
435,22.84882
436,32.26161
437,15.622879
438,4.9792075
439,6.1515794
440,8.164964
441,6.935515
442,21.382364
443,20.019218
444,18.475742
445,5.0315585
446,4.84909
447,17.03088
448,22.957422
449,24.582905
450,16.220102
451,9.677274
452,26.139313
453,13.561
454,13.16365
455,10.157886
456,23.605194
457,18.426834
458,20.659355
459,7.007141
460,23.442755
461,9.429953
462,15.560658
463,16.135653
464,7.7798405
465,9.641665
466,9.2038965
467,9.4939375
468,11.442616
469,24.216846
470,18.307026
471,12.319039
472,24.158245
473,10.87898
474,13.930446
475,8.777556
476,13.93644
477,19.12796
478,22.005611
479,26.23937
480,24.839455
481,19.397388
482,28.076002
483,21.407114
484,27.757889
485,3.9595332
486,20.784643
487,18.3226
488,22.230204
489,9.428234
490,14.683314
491,21.434856
492,18.520819
493,13.987542
494,16.289104
495,16.036196
496,15.175671
497,6.539314
498,5.0722566
499,14.037039
500,14.980418
501,6.6403327
502,20.631495
503,13.447981
504,25.035946
505,24.801416
506,22.07429
507,10.152525
508,9.844963
509,18.045193
510,18.153202
511,14.264873
512,19.961296
513,9.2393
514,24.843796
515,14.608942
516,15.459709
517,13.985393
518,13.72684
519,26.481407
520,27.217043
521,17.149635
522,18.971415
523,25.49203
524,13.164209
525,31.944788
526,7.0095344
527,16.401802
528,16.01537
529,8.951264
530,17.22324
531,11.283522
532,12.619183
533,13.583
534,20.637829
535,6.800067
536,23.820105
537,10.156733
538,24.3664
539,15.1933155
540,42.01044
541,12.129645
542,20.197403
543,6.1257358
544,9.77136
545,11.094731
546,6.402291
547,27.257502
548,21.915901
549,14.873192
550,11.565644
551,7.3783717
552,21.793293
553,25.18744
554,21.656364
555,6.0434246
556,14.135768
557,16.22681
558,23.739965
559,20.956125
560,10.64121
561,11.292285
562,23.49708
563,19.979385
564,21.391562
565,11.285859
566,23.765652
567,26.386705
568,5.9440765
569,27.090675
570,12.90627
571,16.38612
572,28.611835
573,24.756716
574,4.656691
575,20.558805
576,25.667135
577,34.64101
578,18.42156
579,20.891462
580,13.751483
581,9.657691
582,13.103541
583,9.477286
584,16.583628
585,9.426382
586,33.206955
587,11.349091
588,7.192069
589,10.586487
590,11.07254
591,24.836771
592,21.380865
593,31.455826
594,29.371744
595,31.61846
596,9.72844
597,11.241731
598,22.98939
599,25.179977
600,7.274159
601,8.8575115
602,17.629343
603,18.288538
604,19.807373
605,23.027702
606,19.026396
607,29.343552
608,15.509648
609,24.049356
610,6.050866
611,18.844189
612,11.9432125
613,26.35552
614,25.595722
615,9.9081545
616,24.23282
617,13.618982
618,19.596544
619,11.055245
620,7.2655406
621,14.587373
622,9.852668
623,22.661121
624,12.118621
625,27.173615
626,14.84141
627,16.872746
628,18.842522
629,10.125165
630,26.742966
631,19.664024
632,27.219942
633,23.63793
634,19.95985
635,11.236908
636,19.393711
637,11.149689
638,18.877316
639,21.47629
640,8.982666
641,12.199373
642,27.162779
643,32.384388
644,20.717245
645,27.92812
646,6.681358
647,27.126163
648,5.3857913
649,13.767816
650,15.173461
651,17.92882
652,11.363313
653,11.946881
654,15.625007
655,15.374298
656,13.145427
657,30.93487
658,12.736133
659,5.367581
660,25.892324
661,24.39537
662,9.162555
663,10.690047
664,10.823475
665,6.3601947
666,26.39866
667,9.217608
668,20.040625
669,20.553743
670,13.300604
671,6.5502143
672,7.6511836
673,14.417403
674,4.8697047
675,14.6208725
676,22.76113
677,27.953892
678,17.241915
679,10.77773
680,14.681824
681,12.051592
682,17.589054
683,20.268085
684,4.9238524
685,26.400997
686,20.568863
687,14.4058695
688,6.4699697
689,12.234585
690,17.564486
691,9.52432
692,15.09204
693,3.7799816
694,4.6650968
695,11.004118
696,21.942904
697,28.794483
698,28.884552
699,6.0407987
700,7.549147
701,3.8982449
702,21.204203
703,17.659216
704,29.1747
705,6.9502015
706,20.28631
707,4.626681
708,10.774458
709,13.422758
710,20.382593
711,8.947055
712,26.751072
713,11.046531
714,5.5630245
715,4.7682934
716,9.515696
717,21.418715
718,12.641412
719,22.842468
720,9.321355
721,5.502951
722,20.885233
723,26.370256
724,7.782063
725,18.7751
726,5.2150474
727,13.337795
728,8.204594
729,17.608154
730,8.423562
731,9.042547
732,22.011415
733,7.3415103
734,22.352966
735,15.722817
736,6.409132
737,22.165333
738,8.491424
739,24.82017
740,17.522541
741,17.102274
742,11.492284
743,23.885803
744,13.007286
745,14.915544
746,27.07616
747,28.707212
748,17.004677
749,8.52173
750,8.732823
751,23.402672
752,8.487133
753,11.748325
754,19.330067
755,21.656155
756,21.756086
757,17.715084
758,11.697225
759,9.551835
760,16.469507
761,10.091357
762,6.320597
763,23.500135
764,30.523903
765,20.936733
766,20.449667
767,9.122657
768,12.58915
769,14.696613
770,17.049746
771,10.72351
772,24.88919
773,18.19532
774,7.3057528
775,9.92391
776,21.51408
777,21.289583
778,18.125353
779,13.4007225
780,24.28495
781,31.403597
782,16.67593
783,20.205355
784,9.9033165
785,6.4984565
786,6.4045286
787,22.56792
788,24.861938
789,15.134925
790,19.951256
791,9.355841
792,14.252783
793,15.393726
794,10.204939
795,20.768593
796,12.526435
797,13.359656
798,7.286714
799,17.90981
800,13.639215
801,11.257639
802,9.887099
803,12.9500475
804,12.590807
805,23.31514
806,10.415867
807,20.12257
808,21.065647
809,26.257694
810,12.875275
811,19.05761
812,14.757509
813,19.271246
814,8.239431
815,4.783321
816,7.108602
817,15.149611
818,30.035671
819,7.9665804
820,23.478634
821,16.18987
822,15.95671
823,19.026323
824,25.556717
825,4.98256
826,10.427428
827,18.567373
828,23.14465
829,17.273335
830,18.922342
831,4.0648127
832,12.120587
833,12.896224
834,13.714057
835,28.71346
836,12.864738
837,17.26805
838,21.818933
839,17.969494
840,19.661129
841,39.090656
842,33.1795
843,19.98445
844,19.481688
845,8.364814
846,12.734738
847,16.984278
848,8.881825
849,13.869089
850,7.5608435
851,6.2063804
852,6.5850143
853,10.430214
854,7.3477674
855,24.627815
856,22.03169
857,21.66816
858,8.016165
859,15.824034
860,21.429167
861,20.736849
862,22.357407
863,21.705322
864,13.120232
865,7.5787444
866,8.709318
867,9.778424
868,25.424074
869,24.57619
870,8.186905
871,10.662818
872,14.693527
873,31.998169
874,27.601223
875,17.38329
876,21.044506
877,12.444185
878,19.338844
879,16.906801
880,7.8181434
881,13.416228
882,9.625104
883,13.766602
884,25.333704
885,15.289225
886,28.796616
887,20.545746
888,13.313822
889,5.352388
890,32.093277
891,25.202803
892,17.621824
