PassengerId,Name,PClass,Age,Sex,Survived
37,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1st,44,female,1
38,"Brown, Mrs John Murray (Caroline Lane Lamson)",1st,59,female,1
39,"Bucknell, Mrs William Robert (Emma Eliza Ward)",1st,60,female,1
40,"Butt, Major Archibald Willingham",1st,45,male,0
41,"Calderhead, Mr Edward P",1st,NA,male,1
42,"Candee, Mrs Edward (Helen Churchill Hungerford)",1st,53,female,1
43,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",1st,58,female,1
44,"Cardeza, Mr Thomas Drake Martinez",1st,36,male,1
45,"Carlsson, Mr Frans Olof",1st,33,male,0
46,"Carrau, Mr Francisco M",1st,NA,male,0
47,"Carrau, Mr Jose Pedro",1st,NA,male,0
48,"Carter, Mr William Ernest",1st,36,male,1
49,"Carter, Mrs William Ernest (Lucile Polk)",1st,36,female,1
50,"Carter, Miss Lucile Polk",1st,14,female,1
51,"Carter, Master William T II",1st,11,male,1
52,"Case, Mr Howard Brown",1st,49,male,0
53,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",1st,NA,female,1
54,"Cavendish, Mr Tyrell William",1st,36,male,0
55,"Cavendish, Mrs Tyrell William Julia Florence Siegel",1st,NA,female,1
56,"Chaffee, Mr Herbert Fuller",1st,46,male,0
57,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1st,47,female,1
58,"Chambers, Mr Norman Campbell",1st,27,male,1
59,"Chambers, Mrs Norman Campbell (Bertha Griggs)",1st,31,female,1
60,"Cherry, Miss Gladys",1st,NA,female,1
61,"Chevre, Mr Paul",1st,NA,male,1
62,"Chibnall (Bowerman), Mrs Edith Martha",1st,NA,female,1
63,"Chisholm, Mr Roderick Robert",1st,NA,male,0
64,"Clark, Mr Walter Miller",1st,27,male,0
65,"Clark, Mrs Walter Miller (Virginia McDowell)",1st,26,female,1
66,"Clifford, Mr George Quincy",1st,NA,male,0
67,"Colley, Mr Edward Pomeroy",1st,NA,male,0
68,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1st,64,female,1
69,"Compton, Mr Alexander Taylor, Jr",1st,37,male,0
70,"Compton, Miss Sara Rebecca",1st,39,female,1
71,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1st,55,female,1
72,"Crafton, Mr John Bertram",1st,NA,male,0
73,"Crosby, Captain Edward Gifford",1st,70,male,0
74,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",1st,69,female,1
75,"Crosby, Miss Harriet R",1st,36,female,1
76,"Cumings, Mr John Bradley",1st,39,male,0
77,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1st,38,female,1
78,"Daly, Mr Peter Denis ",1st,NA,male,1
79,"Daniel, Mr Robert Williams",1st,27,male,1
80,"Davidson, Mr Thornton",1st,31,male,0
81,"Davidson, Mrs Thornton (Orian Hays)",1st,27,female,1
82,"de Villiers, Madame Berthe",1st,NA,female,1
83,"Dick, Mr Albert Adrian",1st,31,male,1
84,"Dick, Mrs Albert Adrian Vera Gillespie",1st,17,female,1
85,"Dodge, Dr Washington",1st,NA,male,1
86,"Dodge, Mrs Washington (Ruth Vidaver)",1st,NA,female,1
87,"Dodge, Master Washington",1st,4,male,1
88,"Douglas, Mrs Frederick Charles (Suzette Baxter)",1st,27,female,1
89,"Douglas, Mr Walter Donald",1st,50,male,0
90,"Douglas, Mrs Walter Donald (Mahala Dutton)",1st,48,female,1
91,"Duff Gordon, Sir Cosmo Edmund",1st,49,male,1
92,"Duff Gordon, Lady (Lucille Wallace Sutherland)",1st,48,female,1
93,"Dulles, Mr William Crothers",1st,39,male,0
94,"Earnshaw, Mrs Boulton (Olive Potter)",1st,23,female,1
95,"Eustis, Miss Elizabeth Mussey",1st,53,female,1
96,"Evans, Miss Edith Corse",1st,36,female,0
97,"Flegenheim, Mrs Alfred (Antoinette)",1st,NA,female,1
98,"Flynn, Mr John Irving",1st,NA,male,1
99,"Foreman, Mr Benjamin Laventall",1st,30,male,0
100,"Fortune, Miss Alice Elizabeth",1st,24,female,1
101,"Fortune, Mr Charles Alexander",1st,19,male,0
102,"Fortune, Miss Ethel Flora",1st,28,female,1
103,"Fortune, Miss Mabel",1st,23,female,1
104,"Fortune, Mr Mark",1st,64,male,0
105,"Fortune, Mrs Mark (Mary McDougald)",1st,60,female,1
106,"Franklin, Mr Thomas Parham",1st,NA,male,0
107,"Frauenthal, Dr Henry William",1st,49,male,1
108,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",1st,NA,female,1
109,"Frauenthal, Mr Isaac Gerald",1st,44,male,1
110,"Frolicher, Miss Marguerite",1st,22,female,1
111,"Frolicher-Stehli, Mr Maxmillian",1st,60,male,1
112,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",1st,48,female,1
113,"Futrelle, Mr Jacques",1st,37,male,0
114,"Futrelle, Mrs Jacques (May Peel)",1st,35,female,1
115,"Gee, Mr Arthur H",1st,47,male,0
116,"Gibson, Miss Dorothy",1st,22,female,1
117,"Gibson, Mrs Leonard (Pauline C Boeson)",1st,45,female,1
118,"Goldenberg, Mr Samuel L",1st,49,male,1
119,"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)",1st,NA,female,1
120,"Goldschmidt, Mr George B",1st,71,male,0
121,"Gracie, Colonel Archibald IV",1st,54,male,1
122,"Graham, Mr George Edward",1st,38,male,0
123,"Graham, Miss Margaret Edith",1st,19,female,1
124,"Graham, Mrs William Thompson (Edith Junkins)",1st,58,female,1
125,"Greenfield, Mrs Leo David (Blanche Strouse)",1st,45,female,1
126,"Greenfield, Mr William Bertram",1st,23,male,1
127,"Guggenheim, Mr Benjamin",1st,46,male,0
128,"Harder, Mr George Achilles",1st,25,male,1
129,"Harder, Mrs George Achilles (Dorothy Annan)",1st,21,female,1
130,"Harper, Mr Henry Sleeper",1st,48,male,1
131,"Harper, Mrs Henry Sleeper (Myna Haxtun)",1st,49,female,1
132,"Harris, Mr Henry Birkhardt",1st,45,male,0
133,"Harris, Mrs Henry Birkhardt (Irene Wallach)",1st,36,female,1
134,"Hawksford, Mr Walter James",1st,NA,male,1
135,"Hays, Mr Charles Melville",1st,55,male,0
136,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1st,52,female,1
137,"Hays, Miss Margaret Bechstein",1st,24,female,1
138,"Head, Mr Christopher",1st,NA,male,0
139,"Hilliard, Mr Herbert Henry",1st,NA,male,0
140,"Hipkins, Mr William Edward",1st,NA,male,0
141,"Hippach, Miss Jean Gertrude",1st,16,female,1
142,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1st,44,female,1
143,"Hogeboom, Mrs John C (Anna Andrews)",1st,51,female,1
144,"Holverson, Mr Alexander Oskar",1st,42,male,0
145,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1st,35,female,1
146,"Homer, Mr Harry",1st,35,male,1
147,"Hoyt, Mr Frederick Maxfield",1st,38,male,1
148,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1st,35,female,1
149,"Hoyt, Mr William F",1st,NA,male,0
150,"Isham, Miss Anne Elizabeth",1st,50,female,0
151,"Ismay, Mr Joseph Bruce",1st,49,male,1
152,"Jones, Mr Charles Cresson",1st,46,male,0
153,"Julian, Mr Henry Forbes",1st,NA,male,0
154,"Kent, Mr Edward Austin",1st,58,male,0
155,"Kenyon, Mr Frederick R",1st,41,male,0
156,"Kenyon, Mrs Frederick R (Marion)",1st,NA,female,1
157,"Kimball, Mr Edwin Nelson Jr",1st,42,male,1
158,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1st,40,female,1
159,"Klaber, Mr Herman",1st,NA,male,0
160,"Leader, Dr Alice Farnham",1st,NA,female,1
161,"Lewy, Mr Ervin G",1st,NA,male,0
162,"Lindeberg-Lind, Mr Erik Gustaf",1st,42,male,0
163,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1st,55,female,1
164,"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1st,50,female,1
165,"Lines, Miss Mary Conover",1st,16,female,1
166,"Lingrey, Mr Edward",1st,NA,male,0
167,"Long, Mr Milton Clyde",1st,29,male,0
168,"Longley, Miss Gretchen Fiske",1st,21,female,1
169,"Loring, Mr Joseph Holland",1st,30,male,0
170,"Madill, Miss Georgette Alexandra",1st,15,female,1
171,"Maguire, Mr John Edward",1st,30,male,0
172,"Marechal, Mr Pierre",1st,NA,male,1
173,"Marvin, Mr Daniel Warner",1st,NA,male,0
174,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",1st,NA,female,1
175,"McCaffry, Mr Thomas Francis",1st,46,male,0
176,"McCarthy, Mr Timothy J",1st,54,male,0
177,"McGough, Mr James R",1st,36,male,1
178,"Meyer, Mr Edgar Joseph",1st,28,male,0
179,"Meyer, Mrs Edgar Joseph (Leila Saks)",1st,NA,female,1
180,"Millet, Mr Francis Davis",1st,65,male,0
181,"Minahan, Miss Daisy E",1st,33,female,1
182,"Minahan, Dr William Edward",1st,44,male,0
183,"Minahan, Mrs William Edward (Lillian E Thorpe)",1st,37,female,1
184,"Mock, Mr Philip E",1st,NA,male,1
185,"Molson, Mr Harry Markland",1st,55,male,0
186,"Moore, Mr Clarence Bloomfield",1st,47,male,0
187,"Natsch, Mr Charles H",1st,36,male,0
188,"Newell, Mr Arthur Webster",1st,58,male,0
189,"Newell, Miss Madeleine",1st,31,female,1
190,"Newell, Miss Marjorie",1st,23,female,1
191,"Newsom, Miss Helen Monypeny",1st,19,female,1
192,"Nicholson, Mr Arthur Ernest",1st,64,male,0
193,"Omont, Mr A Fernand",1st,NA,male,1
194,"Ostby, Mr Engelhart Cornelius",1st,64,male,0
195,"Ostby, Miss Helen Raghnild",1st,22,female,1
196,"Ovies y Rodriguez, Mr Servando",1st,28,male,0
197,"Parr, Mr William Henry Marsh",1st,NA,male,0
198,"Partner, Mr Austin",1st,NA,male,0
199,"Payne, Mr Vivian Ponsonby",1st,22,male,0
200,"Pears, Mr Thomas",1st,NA,male,0
201,"Pears, Mrs Thomas (Edith)",1st,NA,female,1
202,"Penasco, Mr Victor de Satode",1st,18,male,0
203,"Penasco, Mrs Victor de Satode (Josefa de Soto)",1st,17,female,1
204,"Peuchen, Major Arthur Godfrey",1st,52,male,1
205,"Porter, Mr Walter Chamberlain",1st,46,male,0
206,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1st,56,female,1
207,"Reuchlin, Jonkheer John George",1st,NA,male,0
208,"Rheims, Mr George Lucien",1st,NA,male,1
209,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1st,43,female,1
210,"Roebling, Mr Washington Augustus 2nd",1st,31,male,0
211,"Romaine, Mr Charles Hallace",1st,NA,male,1
212,"Rood, Mr Hugh R",1st,NA,male,0
213,"Rosenbaum (Russell), Miss Edith Louise",1st,33,female,1
214,"Ross, Mr John Hugo",1st,NA,male,0
215,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1st,27,female,1
216,"Rothschild, Mr Martin",1st,55,male,0
217,"Rothschild, Mrs Martin (Elizabeth L Barrett)",1st,54,female,1
218,"Rowe, Mr Alfred G",1st,NA,male,0
219,"Ryerson, Mr Arthur Larned",1st,61,male,0
220,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1st,48,female,1
221,"Ryerson, Miss Emily Borie",1st,18,female,1
222,"Ryerson, Master John Borie",1st,13,male,1
223,"Ryerson, Miss Susan (Suzette) Parker",1st,21,female,1
224,"Saalfeld, Mr Adolphe",1st,NA,male,1
225,"Salomon, Mr Abraham L",1st,NA,male,1
226,"Schabert, Mrs Paul (Emma Mock)",1st,NA,female,1
227,"Seward, Mr Frederic Kimber",1st,34,male,1
228,"Shutes, Miss Elizabeth W",1st,40,female,1
229,"Silverthorne, Mr Spencer Victor",1st,36,male,1
230,"Silvey, Mr William Baird",1st,50,male,0
231,"Silvey, Mrs William Baird (Alice Munger)",1st,39,female,1
232,"Simonius-Blumer, Col Alfons",1st,56,male,1
233,"Sloper, Mr William Thompson",1st,28,male,1
234,"Smart, Mr John Montgomery",1st,56,male,0
235,"Smith, Mr James Clinch",1st,56,male,0
236,"Smith, Mr Lucien Philip",1st,24,male,0
237,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1st,18,female,1
238,"Smith, Mr Richard William",1st,NA,male,0
239,"Snyder, Mr John Pillsbury",1st,24,male,1
240,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1st,23,female,1
241,"Spedden, Mr Frederick Oakley",1st,45,male,1
242,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1st,40,female,1
243,"Spedden, Master Robert Douglas",1st,6,male,1
244,"Spencer, Mr William Augustus",1st,57,male,0
245,"Spencer, Mrs William Augustus (Marie Eugenie)",1st,NA,female,1
246,"Staehlin, Dr Max",1st,32,male,1
247,"Stead, Mr William Thomas",1st,62,male,0
248,"Stengel, Mr Charles Emil Henry",1st,54,male,1
249,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1st,43,female,1
250,"Stephenson, Mrs Walter Bertram (Martha Eustis)",1st,52,female,1
251,"Stewart, Mr Albert A",1st,NA,male,0
252,"Stone, Mrs George Nelson (Martha E)",1st,62,female,1
253,"Straus, Mr Isidor",1st,67,male,0
254,"Straus, Mrs Isidor (Ida Blun)",1st,63,female,0
255,"Sutton, Mr Frederick",1st,61,male,0
256,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1st,46,female,1
257,"Taussig, Mr Emil",1st,52,male,0
258,"Taussig, Mrs Emil (Tillie Mandelbaum)",1st,39,female,1
259,"Taussig, Miss Ruth",1st,18,female,1
260,"Taylor, Mr Elmer Zebley",1st,48,male,1
261,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",1st,NA,female,1
262,"Thayer, Mr John Borland",1st,49,male,0
263,"Thayer, Mrs John Borland (Marian Longstreth Morris)",1st,39,female,1
264,"Thayer, Mr John Borland, jr",1st,17,male,1
265,"Thorne, Mr George (alias of: Mr George Rosenshine)",1st,46,male,0
266,"Thorne, Mrs Gertrude Maybelle",1st,NA,female,1
267,"Tucker, Mr Gilbert Milligan, jr",1st,31,male,1
268,"Uruchurtu, Mr Manuel E",1st,NA,male,0
269,"Van Derhoef, Mr Wyckoff",1st,61,male,0
270,"Walker, Mr William Anderson",1st,47,male,0
271,"Warren, Mr Frank Manley",1st,64,male,0
272,"Warren, Mrs Frank Manley (Anna S Atkinson)",1st,60,female,1
273,"Weir, Col John",1st,60,male,0
274,"White, Mrs J Stuart (Ella Holmes)",1st,55,female,1
275,"White, Mr Percival Wayland",1st,54,male,0
276,"White, Mr Richard Frasar",1st,21,male,0
277,"Wick, Mr George Dennick",1st,57,male,0
278,"Wick, Mrs George Dennick (Martha Hitchcock)",1st,45,female,1
279,"Wick, Miss Mary Natalie",1st,31,female,1
280,"Widener, Mr George Dunton",1st,50,male,0
281,"Bazzani, Ms Albina",1st,NA,female,1
282,"Bidois, Miss Rosalie",1st,NA,female,1
283,"Bird, Ms Ellen",1st,NA,female,1
284,"Bissetti, Ms Amelia",1st,NA,female,1
285,"Burns, Ms Elizabeth Margaret",1st,NA,female,1
286,"Chaudanson, Ms         Victorine",1st,NA,female,1
287,"Cleaver, Ms Alice",1st,NA,female,1
288,"Daniels, Ms Sarah",1st,NA,female,1
289,"Endres, Miss Caroline Louise",1st,NA,female,1
290,"Farthing, Mr John",1st,NA,male,0
291,"Fleming, Ms Margaret",1st,NA,female,0
292,"Francatelli, Ms Laura Mabel",1st,NA,female,1
293,"Fry, Mr Richard",1st,NA,male,0
294,"Geiger, Miss Emily ",1st,NA,female,1
295,"Giglio, Mr Victor",1st,NA,male,0
296,"Harrington, Mr Charles",1st,NA,male,0
297,"Harrison, Mr William   Henry",1st,40,male,0
298,"Hassah, Mr Hamad",1st,NA,male,0
299,"Icabad (Icabod), Ms",1st,NA,female,1
300,"Keeping, Mr Edwin",1st,32,male,0
301,"Kenchen, Ms Amelia",1st,NA,female,1
302,"LeRoy, Miss Berthe",1st,NA,female,1
303,"Lesneur, Mr Gustave",1st,NA,male,0
304,"Maloney, Ms",1st,NA,female,1
305,"Oliva, Mlle",1st,NA,female,0
306,"Pericault, Ms",1st,NA,female,1
307,"Ringhini, Mr Sante",1st,33,male,0
308,"Robbins, Mr Victor",1st,NA,male,0
309,"Segesser, Mlle Emma",1st,NA,female,1
310,"Seredeca, Ms",1st,NA,female,0
311,"Ward, Ms Anna",1st,NA,female,0
312,"Wilson, Ms Helen",1st,NA,female,1
313,"Abelson, Mr Samuel",2nd,30,male,0
314,"Abelson, Mrs Samuel (Anna)",2nd,28,female,1
315,"Andrew, Mr Edgar Samuel",2nd,18,male,0
316,"Andrew, Mr Frank",2nd,NA,male,0
317,"Angle, Mr William A",2nd,34,male,0
318,"Angle, Mrs William A (Florence)",2nd,32,female,1
319,"Ashby, Mr John",2nd,57,male,0
320,"Bailey, Mr Percy Andrew",2nd,18,male,0
321,"Baimbrigge, Mr Charles R",2nd,23,male,0
322,"Balls, Mrs Ada E Hall",2nd,36,female,1
323,"Banfield, Mr Frederick J",2nd,28,male,0
324,"Bateman, Rev Robert James",2nd,51,male,0
325,"Beane, Mr Edward",2nd,32,male,1
326,"Beane, Mrs Edward (Ethel Clarke)",2nd,19,female,1
327,"Beauchamp, Mr Henry James",2nd,28,male,0
328,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2nd,36,female,1
329,"Becker, Miss Marion Louise",2nd,4,female,1
330,"Becker, Master Richard F",2nd,1,male,1
331,"Becker, Miss Ruth Elizabeth",2nd,12,female,1
332,"Beesley, Mr Lawrence",2nd,34,male,1
333,"Bentham, Miss Lilian W",2nd,19,female,1
334,"Berriman, Mr William S",2nd,23,male,0
335,"Botsford, Mr William Hull",2nd,26,male,0
336,"Bowenur, Mr Solomon",2nd,NA,male,0
337,"Bracken, Mr James H",2nd,27,male,0
338,"Brown, Miss Edith E",2nd,15,female,1
339,"Brown, Mr Thomas William Solomon",2nd,45,male,0
340,"Brown, Mrs Thomas William Solomon (Elizabeth C)",2nd,40,female,1
341,"Bryhl, Miss Dagmar",2nd,20,female,1
342,"Bryhl, Mr Kurt Arnold Gottfrid",2nd,25,male,0
343,"Buss, Miss Kate",2nd,36,female,1
344,"Butler, Mr Reginald Fenton",2nd,25,male,0
345,"Byles, Rev Thomas Roussel D",2nd,NA,male,0
346,"Bystrom, Mrs Carolina",2nd,42,female,1
347,"Caldwell, Mr Albert Francis",2nd,26,male,1
348,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",2nd,26,female,1
349,"Caldwell, Master Alden Gates",2nd,0.83,male,1
350,"Cameron, Miss Clear",2nd,31,female,1
351,"Campbell, Mr William",2nd,NA,male,0
352,"Carbines, Mr William",2nd,19,male,0
353,"Carter, Rev Ernest Courtenay",2nd,54,male,0
354,"Carter, Mrs Ernest Courtenay (Lillian Hughes)",2nd,44,female,0
355,"Chapman, Mr Charles Henry",2nd,52,male,0
356,"Chapman, Mr John Henry",2nd,30,male,0
357,"Chapman, Mrs John Henry (Elizabeth Lawry)",2nd,30,female,0
358,"Christy, Mrs Alice Frances",2nd,NA,female,1
359,"Christy, Miss Julie",2nd,NA,female,1
360,"Clarke, Mr Charles V",2nd,29,male,0
361,"Clarke, Mrs Charles V (Ada Maria)",2nd,NA,female,1
362,"Coleridge, Mr Reginald Charles",2nd,29,male,0
363,"Collander, Mr Erik",2nd,27,male,0
364,"Collett, Mr Sidney C Stuart",2nd,24,male,1
365,"Collyer, Mr Harvey",2nd,35,male,0
366,"Collyer, Mrs Harvey (Charlotte Tate)",2nd,31,female,1
367,"Collyer, Miss Marjorie",2nd,8,female,1
368,"Cook, Mrs Selena Rogers",2nd,22,female,0
369,"Corbett, Mrs Walter H (Irene Colvin)",2nd,30,female,0
370,"Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller)",2nd,NA,female,0
371,"Cotterill, Mr Harry",2nd,20,male,0
372,"Cunningham, Mr Alfred Fleming",2nd,NA,male,0
373,"Davies, Mr Charles Henry",2nd,21,male,0
374,"Davis, Mrs Agnes",2nd,49,female,1
375,"Davis, Master John Morgan",2nd,8,male,1
376,"Davis, Miss Mary",2nd,28,female,1
377,"Deacon, Mr Percy",2nd,18,male,0
378,"de Brito, Mr Jose Joaquim",2nd,NA,male,0
379,"del Carlo, Mr Sebastiano",2nd,28,male,0
380,"del Carlo, Mrs Sebastiano (Argenia Genovese)",2nd,22,female,1
381,"Denbury, Mr Herbert",2nd,25,male,0
382,"Dibden, Mr William",2nd,18,male,0
383,"Doling, Mrs Ada",2nd,32,female,1
384,"Doling, Miss Elsie",2nd,18,female,1
385,"Downton (?Douton), Mr William James",2nd,NA,male,0
386,"Drew, Mr James Vivian",2nd,42,male,0
387,"Drew, Mrs James Vivian (Lulu Thorne Christian)",2nd,34,female,1
388,"Drew, Master Marshall Brines",2nd,8,male,1
389,"Duran y More, Miss Asuncion",2nd,NA,female,1
390,"Duran y More, Miss Florentina",2nd,NA,female,1
391,"Eitemiller, Mr George Floyd",2nd,23,male,0
392,"Enander, Mr Ingvar",2nd,21,male,0
393,"Fahlstrom, Mr Arne Jonas",2nd,19,male,0
394,"Faunthorpe, Mr Harry",2nd,NA,male,0
395,"Faunthorpe, Mrs Lizzie (see Wilkinson, E)",2nd,NA,female,1
396,"Fillbrook, Mr Charles",2nd,NA,male,0
397,"Fox, Mr Stanley H",2nd,38,male,0
398,"Frost, Mr Anthony (Archie) W",2nd,NA,male,0
399,"Funk, Miss Annie C",2nd,38,female,0
400,"Fynney, Mr Joseph J",2nd,35,male,0
401,"Gale, Mr Harry",2nd,35,male,0
402,"Gale, Mr Shadrach",2nd,38,male,0
403,"Garside, Miss Ethel",2nd,24,female,1
404,"Gaskell, Mr Alfred",2nd,16,male,0
405,"Gavey, Mr Lawrence",2nd,26,male,0
406,"Gilbert, Mr William",2nd,45,male,0
407,"Giles, Mr Edgar",2nd,24,male,0
408,"Giles, Mr Frederick",2nd,21,male,0
409,"Giles, Mr Ralph",2nd,22,male,0
410,"Gill, Mr John W",2nd,NA,male,0
411,"Gillespie, Mr William",2nd,34,male,0
412,"Givard, Mr Hans Christensen",2nd,30,male,0
413,"Greenberg, Mr Samuel",2nd,50,male,0
414,"Hale, Mr Reginald",2nd,30,male,0
415,"Hamalainen, Mrs William (Anna)",2nd,23,female,1
416,"Hamalainen, Master Viljo",2nd,1,male,1
417,"Harbeck, Mr William H",2nd,44,male,0
418,"Harper, Rev John",2nd,28,male,0
419,"Harper, Miss Nina",2nd,6,female,1
420,"Harris, Mr George",2nd,30,male,1
421,"Harris, Mr Walter",2nd,NA,male,0
422,"Hart, Mr Benjamin",2nd,43,male,0
423,"Hart, Mrs Benjamin (Esther)",2nd,45,female,1
424,"Hart, Miss Eva Miriam",2nd,7,female,1
425,"Herman, Miss Alice",2nd,24,female,1
426,"Herman, Miss Kate",2nd,24,female,1
427,"Herman, Mr Samuel",2nd,49,male,0
428,"Herman, Mrs Samuel (Jane Laver)",2nd,48,female,1
429,"Hewlett, Mrs Mary D",2nd,NA,female,1
430,"Hickman, Mr Leonard Mark",2nd,34,male,0
431,"Hickman, Mr Lewis",2nd,32,male,0
432,"Hickman, Mr Stanley George",2nd,21,male,0
433,"Hiltunen, Miss Marta",2nd,18,female,0
434,"Hocking, Mrs Elizabeth",2nd,53,female,1
435,"Hocking, Mr George",2nd,23,male,0
436,"Hocking, Miss Ellen (Nellie)",2nd,21,female,1
437,"Hocking, Mr Samuel James",2nd,NA,male,0
438,"Hodges, Mr Henry Price",2nd,52,male,0
439,"Hold, Mr Stephen",2nd,42,male,0
440,"Hold, Mrs Stephen (Annie Margaret)",2nd,36,female,1
441,"Hood, Mr Ambrose, Jr",2nd,21,male,0
442,"Hosono, Mr Masafumi",2nd,41,male,1
443,"Howard, Mr Benjamin",2nd,NA,male,0
444,"Howard, Mrs Benjamin (Ellen Truelove)",2nd,NA,female,0
445,"Hunt, Mr George Henry",2nd,33,male,0
446,"Ilett, Miss Bertha",2nd,17,female,1
447,Jacobsohn Mr Samuel,2nd,NA,male,0
448,"Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)",2nd,NA,female,1
449,"Jarvis, Mr John Denzil",2nd,NA,male,0
450,"Jefferys, Mr Clifford",2nd,NA,male,0
451,"Jefferys, Mr Ernest",2nd,NA,male,0
452,"Jenkin, Mr Stephen Curnow",2nd,NA,male,0
453,"Jerwan, Mrs Amin S (Marie Thuillard)",2nd,23,female,1
454,"Kantor, Mr Sinai",2nd,34,male,0
455,"Kantor, Mrs Sinai (Miriam Sternim)",2nd,NA,female,1
456,"Karnes, Mrs J Frank (Claire Bennett)",2nd,22,female,0
457,"Keane, Mr Daniel",2nd,NA,male,0
458,"Keane, Miss Nora A",2nd,NA,female,1
459,"Kelly, Mrs Florence (Fannie)",2nd,45,female,1
460,"Lehmann, Miss Bertha",2nd,NA,female,1
461,"Leitch, Miss Jessie",2nd,NA,female,1
462,"Levy, Mr Rene Jacques",2nd,NA,male,0
463,"Leyson, Mr Robert William Norman",2nd,25,male,0
464,"Lingan, Mr John",2nd,NA,male,0
465,"Louch, Mr Charles Alexander",2nd,48,male,0
466,"Louch, Mrs Charles Alexander (Alice Adelaide)",2nd,NA,female,1
467,"Mack, Mrs Mary",2nd,57,female,0
468,"Malachard, Mr Noel",2nd,NA,male,0
469,"Mallet, Mr Albert",2nd,NA,male,0
470,"Mallet, Mrs Albert (Antoinette)",2nd,NA,female,1
